Time [s],T1,T2,T3,T4,T5
13.511039500,0,0,0,0,0
13.561086875,0,0,0,1,0
13.561522542,0,0,0,0,0
13.611558750,0,0,0,1,0
13.612000500,0,0,0,0,0
13.662036667,0,0,0,1,0
13.662472375,0,0,0,0,0
13.712519417,0,0,0,1,0
13.712955125,0,0,0,0,0
13.762999125,0,1,0,0,0
13.763115667,0,0,0,0,0
13.763126542,1,0,0,0,0
13.785132875,0,0,0,0,0
13.785146625,0,0,1,0,0
13.785260875,0,0,0,0,0
13.785278750,0,0,0,1,0
13.785714417,0,0,0,0,0
13.785731292,0,0,0,0,1
13.841253417,0,0,0,0,0
13.841271292,0,0,0,1,0
13.841707000,0,0,0,0,0
13.863957250,0,0,0,1,0
13.864392917,0,0,0,0,0
13.914440000,0,0,0,1,0
13.914875667,0,0,0,0,0
13.964922750,0,0,0,1,0
13.965364500,0,0,0,0,0
14.015400667,0,0,0,1,0
14.015836375,0,0,0,0,0
14.065883417,0,0,0,1,0
14.066319125,0,0,0,0,0
14.116366500,0,0,0,1,0
14.116808250,0,0,0,0,0
14.166844417,0,0,0,1,0
14.167280125,0,0,0,0,0
14.217327167,0,0,0,1,0
14.217762875,0,0,0,0,0
14.267799167,0,0,1,0,0
14.267916875,0,0,0,0,0
14.267927750,1,0,0,0,0
14.328818042,0,0,0,0,0
14.328828625,0,1,0,0,0
14.328939542,0,0,0,0,0
14.328957417,0,0,0,1,0
14.329393125,0,0,0,0,0
14.329410000,0,0,0,0,1
14.384905875,0,0,0,0,0
14.384923750,0,0,0,1,0
14.385359417,0,0,0,0,0
14.419236375,0,0,0,1,0
14.419672042,0,0,0,0,0
14.469719125,0,0,0,1,0
14.470160875,0,0,0,0,0
14.520197042,0,0,0,1,0
14.520632750,0,0,0,0,0
14.570679792,0,0,0,1,0
14.571115500,0,0,0,0,0
14.621162542,0,0,0,1,0
14.621604292,0,0,0,0,0
14.671651667,0,0,0,1,0
14.672087375,0,0,0,0,0
14.722123542,0,0,0,1,0
14.722559250,0,0,0,0,0
14.772598667,0,0,0,0,1
14.828108500,0,0,0,0,0
14.828119375,1,0,0,0,0
14.888999125,0,0,0,0,0
14.889009667,0,1,0,0,0
14.889123750,0,0,0,0,0
14.889137500,0,0,1,0,0
14.889252667,0,0,0,0,0
14.889270542,0,0,0,1,0
14.889706250,0,0,0,0,0
14.924046000,0,0,0,1,0
14.924481667,0,0,0,0,0
14.974517875,0,0,0,1,0
14.974959625,0,0,0,0,0
15.025006667,0,0,0,1,0
15.025442375,0,0,0,0,0
15.075478542,0,0,0,1,0
15.075914250,0,0,0,0,0
15.125961292,0,0,0,1,0
15.126403042,0,0,0,0,0
15.176444042,0,0,0,1,0
15.176885792,0,0,0,0,0
15.226922292,0,0,0,1,0
15.227358000,0,0,0,0,0
15.277402292,1,0,0,0,0
15.299455458,0,0,0,0,0
15.299466000,0,1,0,0,0
15.299579750,0,0,0,0,0
15.299593500,0,0,1,0,0
15.299708667,0,0,0,0,0
15.299726542,0,0,0,1,0
15.300162250,0,0,0,0,0
15.300179125,0,0,0,0,1
15.355692792,0,0,0,0,0
15.355710667,0,0,0,1,0
15.356146375,0,0,0,0,0
15.378363667,0,0,0,1,0
15.378799375,0,0,0,0,0
15.428846417,0,0,0,1,0
15.429282125,0,0,0,0,0
15.479318625,0,0,0,1,0
15.479760375,0,0,0,0,0
15.529796542,0,0,0,1,0
15.530232250,0,0,0,0,0
15.580279292,0,0,0,1,0
15.580715000,0,0,0,0,0
15.630762042,0,0,0,1,0
15.631203792,0,0,0,0,0
15.681244792,0,0,0,1,0
15.681686542,0,0,0,0,0
15.731722750,0,0,0,1,0
15.732158417,0,0,0,0,0
15.782198167,0,0,0,0,1
15.837710500,0,0,0,0,0
15.837721375,1,0,0,0,0
15.898600667,0,0,0,0,0
15.898611250,0,1,0,0,0
15.898723750,0,0,0,0,0
15.898737500,0,0,1,0,0
15.898852667,0,0,0,0,0
15.898870542,0,0,0,1,0
15.899306250,0,0,0,0,0
15.933646000,0,0,0,1,0
15.934081667,0,0,0,0,0
15.984117875,0,0,0,1,0
15.984559625,0,0,0,0,0
